City,Colors,Shape,State,Time,Month,Day,Year
Roswell,,,NM,7/7/1947 0:00,7,7,1947
Johnston City,,DISK,IL,7/9/1947 20:00,7,9,1947
Roswell,,,NM,7/11/1947 0:00,7,11,1947
Syracuse,,CIGAR,NY,7/14/1947 10:30,7,14,1947
Richmond,,CIRCLE,CA,7/14/1947 11:00,7,14,1947
Las Vegas,,DISK,NV,7/15/1947 10:00,7,15,1947
Keeneyville,,FORMATION,IL,7/15/1947 12:00,7,15,1947
Clintwood,,CYLINDER,VA,7/15/1947 15:00,7,15,1947
Hazelton,,DISK,ID,7/15/1947 15:00,7,15,1947
Minneapolis,,DISK,MN,7/15/1947 17:00,7,15,1947
Morehouse,,CYLINDER,MO,7/15/1947 21:00,7,15,1947
San Jose,BLUE,CHEVRON,CA,7/15/1947 21:00,7,15,1947
Raton,,OVAL,NM,7/20/1947 22:00,7,20,1947
Modesto,BLUE,DISK,CA,8/8/1947 22:00,8,8,1947
Green Valley,,,WI,8/10/1947 20:00,8,10,1947
Henrietta,,LIGHT,OK,8/12/1947 1:00,8,12,1947
Saranac Lake,,DISK,NY,8/12/1947 22:00,8,12,1947
Proctor,,CIGAR,OK,8/15/1947 20:15,8,15,1947
Whitmore Lake,,CIGAR,MI,12/24/1947 21:00,12,24,1947
Kelseyville,,DISK,CA,4/30/1948 12:00,4,30,1948
Scipio,RED,SPHERE,IN,5/10/1948 19:00,5,10,1948
Borger,,DISK,TX,6/15/1948 16:00,6,15,1948
Baltimore,,OVAL,MD,6/30/1948 0:00,6,30,1948
Jim Ridge,,,WV,6/30/1948 8:00,6,30,1948
Ojai,,LIGHT,CA,7/15/1948 22:00,7,15,1948
New York City,,CIRCLE,NY,8/1/1948 2:00,8,1,1948
Conshohocken,,OVAL,PA,8/15/1948 12:00,8,15,1948
Sharpsburg,,CIRCLE,MD,12/12/1948 23:30,12,12,1948
Seattle,,DISK,WA,4/10/1949 15:00,4,10,1949
Oak Ridge,,OTHER,WV,5/1/1949 14:00,5,1,1949
Grays,,LIGHT,SC,5/15/1949 6:30,5,15,1949
Los Angeles,,CIRCLE,CT,6/4/1949 10:00,6,4,1949
Anchorage,,DISK,AK,6/10/1949 21:00,6,10,1949
Knoxville,,OTHER,TN,6/30/1949 15:00,6,30,1949
Salem,,CIGAR,OR,6/30/1949 21:00,6,30,1949
Fairbanks,,DISK,AK,7/1/1949 11:00,7,1,1949
Marion,,FORMATION,AL,7/1/1949 16:00,7,1,1949
Booneville,,,MS,7/15/1949 20:30,7,15,1949
Excelsior,,CIRCLE,MN,8/15/1949 0:00,8,15,1949
Mill Valley,,LIGHT,CA,8/15/1949 21:00,8,15,1949
Tarrant City,ORANGE,CIRCLE,AL,8/15/1949 22:00,8,15,1949
Steilacoom,,DISK,WA,8/25/1949 19:00,8,25,1949
Mt Gilead,,CIRCLE,OH,9/15/1949 21:00,9,15,1949
Post,,DISK,TX,9/15/1949 21:00,9,15,1949
San Marcos,,CYLINDER,TX,10/10/1949 20:30,10,10,1949
Lackland AFB,,LIGHT,TX,10/10/1949 21:00,10,10,1949
Baltimore,,CIGAR,MD,10/15/1949 20:00,10,15,1949
Mount Hope,,,WV,1/1/1950 22:00,1,1,1950
New York City,,OVAL,NY,1/2/1950 0:00,1,2,1950
Roswell,RED,,NM,3/22/1950 0:00,3,22,1950
Arkansas,,DISK,AR,4/15/1950 8:00,4,15,1950
Waynesborough,,DISK,VA,4/15/1950 14:00,4,15,1950
Fort Lewis,,TRIANGLE,WA,5/12/1950 14:00,5,12,1950
Crowder,,,MS,6/1/1950 0:00,6,1,1950
Philadelphia,,DISK,MS,6/1/1950 16:00,6,1,1950
Pittsburgh,,OVAL,PA,6/1/1950 20:00,6,1,1950
Kensington,,OVAL,MD,6/7/1950 20:00,6,7,1950
Kansas City,,DISK,MO,6/8/1950 10:00,6,8,1950
Napa,GREEN,DISK,CA,6/10/1950 0:00,6,10,1950
Grosse Pointe Park,,OVAL,MI,6/15/1950 13:00,6,15,1950
Bonifay,,DISK,FL,6/15/1950 20:00,6,15,1950
Fort Worth,,DISK,TX,6/15/1950 20:00,6,15,1950
Booneville,,DISK,MS,6/20/1950 10:00,6,20,1950
Galveston,,SPHERE,TX,6/20/1950 17:00,6,20,1950
Lac Du Flambeau,,DISK,WI,6/30/1950 16:00,6,30,1950
Florence,,DISK,CO,6/30/1950 17:30,6,30,1950
Florence,,LIGHT,CO,6/30/1950 17:30,6,30,1950
Coeur d'Alene,ORANGE,CIGAR,ID,7/2/1950 13:00,7,2,1950
Bay St. Louis,,LIGHT,MS,7/2/1950 21:00,7,2,1950
East Palestine,,LIGHT,OH,7/10/1950 20:30,7,10,1950
Newark,,SPHERE,NJ,7/15/1950 21:30,7,15,1950
Los Padres National Forest,,FORMATION,CA,7/15/1950 23:00,7,15,1950
Smithport,,DISK,PA,7/20/1950 21:30,7,20,1950
Louisville,,OTHER,KY,8/1/1950 4:00,8,1,1950
Stanfield,,DISK,OR,8/15/1950 14:00,8,15,1950
Pikeville,,DISK,KY,10/1/1950 11:00,10,1,1950
Sandy Hook,,TRIANGLE,NJ,10/15/1950 15:00,10,15,1950
Half Moon Bay,,OTHER,CA,12/12/1950 22:00,12,12,1950
Palm Springs,,CIGAR,CA,1/20/1951 4:30,1,20,1951
Thompsonville,,DISK,CT,2/3/1951 22:00,2,3,1951
Los Angeles,,DISK,CA,2/15/1951 11:00,2,15,1951
Irving,BLUE,DISK,KS,4/15/1951 0:30,4,15,1951
Fort Sill,,OVAL,OK,5/15/1951 3:00,5,15,1951
Oklahoma,,CIGAR,OK,6/1/1951 19:00,6,1,1951
Jasper,,OVAL,NC,6/3/1951 13:00,6,3,1951
Mount Pinos,,DISK,CA,6/6/1951 2:00,6,6,1951
Greenville,GREEN,DISK,MS,6/15/1951 20:30,6,15,1951
Jackson Heights,,DISK,NY,6/30/1951 7:00,6,30,1951
Birmingham,,,AL,6/30/1951 19:00,6,30,1951
Otis Orchards,,DISK,WA,7/1/1951 3:00,7,1,1951
Atlanta,,,GA,7/1/1951 14:00,7,1,1951
Calaveras County,,DISK,CA,7/3/1951 3:00,7,3,1951
Green River,GREEN,SPHERE,WY,7/3/1951 12:00,7,3,1951
Provo,BLUE,DISK,UT,7/10/1951 23:30,7,10,1951
Spokane Valley,,SPHERE,WA,7/15/1951 14:00,7,15,1951
Sunland,,CIRCLE,CA,8/10/1951 1:00,8,10,1951
Altoona,,DISK,PA,8/15/1951 13:00,8,15,1951
Jacksonville,,DISK,FL,10/15/1951 20:00,10,15,1951
Holloman AFB,,CIRCLE,NM,11/15/1951 6:00,11,15,1951
Salt Lake City,,,UT,1/1/1952 0:00,1,1,1952
Binghamton,,DISK,NY,2/10/1952 21:00,2,10,1952
Nellis AFB,,DISK,NV,2/17/1952 18:00,2,17,1952
Chicago,,DISK,IL,4/15/1952 13:00,4,15,1952
Greenville,ORANGE,TRIANGLE,TX,4/15/1952 16:00,4,15,1952
Pittsburgh,,CYLINDER,PA,5/15/1952 10:15,5,15,1952
Allyn,,DISK,WA,5/15/1952 20:00,5,15,1952
Dousman,,,WI,6/1/1952 11:00,6,1,1952
Norfolk,RED,FIREBALL,VA,6/1/1952 22:00,6,1,1952
Evergreen,,DISK,CO,6/6/1952 13:00,6,6,1952
Chicago,,CIRCLE,IL,6/10/1952 12:00,6,10,1952
Fortville,,DISK,IN,6/13/1952 7:30,6,13,1952
Luke Airforce Base,,EGG,AZ,6/15/1952 0:00,6,15,1952
Piedra Blanka,,CIGAR,CA,6/15/1952 0:00,6,15,1952
Jacksonville,,TRIANGLE,FL,6/15/1952 21:00,6,15,1952
Maywood,,CIRCLE,CA,6/15/1952 23:00,6,15,1952
Lansing,,OTHER,MI,6/21/1952 22:00,6,21,1952
Chester,,OVAL,PA,6/22/1952 17:45,6,22,1952
Cheyenne,,DISK,WY,6/30/1952 0:00,6,30,1952
Pecos,,DISK,TX,6/30/1952 3:00,6,30,1952
Barksdale AFB,,,LA,6/30/1952 6:00,6,30,1952
Miami,,LIGHT,FL,6/30/1952 9:00,6,30,1952
New York City,,DISK,NY,6/30/1952 13:00,6,30,1952
Auburn,,OVAL,WA,6/30/1952 18:30,6,30,1952
Miami,,DISK,FL,6/30/1952 21:00,6,30,1952
Miami,,DISK,FL,6/30/1952 21:00,6,30,1952
Miami,,LIGHT,FL,6/30/1952 21:00,6,30,1952
Sebeka,,OTHER,MN,7/1/1952 15:00,7,1,1952
Detroit,,SPHERE,MI,7/1/1952 22:00,7,1,1952
Tacoma,,SPHERE,WA,7/5/1952 16:00,7,5,1952
Evergreen,,CIRCLE,CO,7/7/1952 10:00,7,7,1952
Arlington,,DISK,TX,7/7/1952 13:00,7,7,1952
Arlington,GREEN,OVAL,VA,7/13/1952 21:00,7,13,1952
Wilmington,,DISK,CA,7/15/1952 12:00,7,15,1952
,,DISK,CA,7/15/1952 12:30,7,15,1952
Litchfield,,OTHER,PA,7/15/1952 13:00,7,15,1952
South Gate,,CIRCLE,CA,7/15/1952 14:00,7,15,1952
North Bend,,OTHER,WA,7/15/1952 18:30,7,15,1952
New York City,,OTHER,NY,7/15/1952 19:00,7,15,1952
Okolona,,OVAL,MS,7/22/1952 9:30,7,22,1952
Tacoma,,SPHERE,WA,7/25/1952 16:00,7,25,1952
Manville,,SPHERE,RI,7/30/1952 15:00,7,30,1952
Tampa,,OVAL,FL,8/1/1952 21:30,8,1,1952
Smithson's Valley,,CIGAR,TX,8/15/1952 17:00,8,15,1952
Prairie Grove,,DISK,AR,8/15/1952 17:30,8,15,1952
Hamilton,,LIGHT,OH,8/15/1952 22:15,8,15,1952
Philadelphia,,CIRCLE,PA,9/9/1952 20:00,9,9,1952
Norridgewock,,DISK,ME,9/15/1952 14:00,9,15,1952
Kansas City,,DISK,MO,10/1/1952 12:00,10,1,1952
Richland,,CIRCLE,WA,10/15/1952 21:00,10,15,1952
Chicago,,OTHER,IL,12/6/1952 19:00,12,6,1952
Camp McCoy,,CYLINDER,WI,12/30/1952 12:00,12,30,1952
Nebraska,,,NE,1/1/1953 0:00,1,1,1953
Oklahoma,,CIGAR,TX,1/1/1953 14:00,1,1,1953
Palm Springs,,,CA,3/15/1953 0:00,3,15,1953
Haverhill,,CHEVRON,MA,4/1/1953 15:00,4,1,1953
Cambridge,RED,SPHERE,MA,4/1/1953 18:00,4,1,1953
Chariton,,OTHER,IA,4/10/1953 13:00,4,10,1953
Los Angeles,,FIREBALL,CA,4/15/1953 12:00,4,15,1953
Midwest City,YELLOW,FIREBALL,OK,4/15/1953 16:00,4,15,1953
Jamison,,CIGAR,PA,4/30/1953 16:00,4,30,1953
Kingman,,,AZ,5/20/1953 8:00,5,20,1953
Fresno,,,CA,6/1/1953 21:00,6,1,1953
Roswell,,,NM,6/15/1953 0:00,6,15,1953
Wenatchee,,DISK,WA,6/15/1953 12:00,6,15,1953
Fort Worth,,SPHERE,TX,6/15/1953 13:00,6,15,1953
North Bend,,CIRCLE,WA,6/15/1953 18:00,6,15,1953
Galveston,,CIGAR,TX,6/17/1953 7:30,6,17,1953
Cleveland,RED,FIREBALL,OH,6/30/1953 0:00,6,30,1953
Kelso,,OVAL,WA,6/30/1953 15:00,6,30,1953
Colorado Springs,,DISK,CO,7/1/1953 5:30,7,1,1953
,BLUE,DISK,MT,7/4/1953 14:00,7,4,1953
Ogallala,,OTHER,NE,7/4/1953 21:00,7,4,1953
Nashville,,CYLINDER,TN,7/15/1953 13:00,7,15,1953
Dublin,,CONE,IN,7/17/1953 22:00,7,17,1953
Berkeley,,FIREBALL,MO,8/1/1953 12:00,8,1,1953
"San Bernadino Mtns, Church Camp",,DISK,CA,8/1/1953 14:00,8,1,1953
Vallejo,,LIGHT,CA,8/7/1953 21:00,8,7,1953
Louisville,,CIRCLE,KY,8/15/1953 11:00,8,15,1953
Artesia,ORANGE,OTHER,NM,8/15/1953 19:00,8,15,1953
Bowleys Quarters,,SPHERE,MD,8/15/1953 21:00,8,15,1953
Homer,,,PA,9/15/1953 14:00,9,15,1953
Mauriceville,,DISK,TX,10/15/1953 14:00,10,15,1953
New Orleans,,OVAL,LA,10/31/1953 19:00,10,31,1953
Cicero,,OTHER,IL,11/13/1953 20:00,11,13,1953
Keansburg,,CIRCLE,NJ,11/15/1953 3:00,11,15,1953
Pendleton,GREEN,DISK,IN,11/21/1953 22:30,11,21,1953
Lackland Air Force Base,,DISK,TX,11/25/1953 4:25,11,25,1953
Brunswick,,,ME,1/1/1954 0:00,1,1,1954
Lakeland,,DISK,FL,1/1/1954 1:00,1,1,1954
Souix City,,CIRCLE,IA,1/1/1954 22:00,1,1,1954
Santa Monica,,LIGHT,CT,1/15/1954 20:00,1,15,1954
Fairbanks,,,AK,2/1/1954 2:00,2,1,1954
Burney,,DISK,CA,2/15/1954 19:30,2,15,1954
Stanford Campus,,DISK,CA,4/1/1954 22:00,4,1,1954
Corvallis,,DIAMOND,OR,5/15/1954 12:00,5,15,1954
Quincy,,DISK,IL,5/26/1954 4:30,5,26,1954
Houston,,DISK,TX,6/1/1954 0:00,6,1,1954
Ovid,,DISK,NY,6/1/1954 6:00,6,1,1954
Springfield,,CYLINDER,IL,6/1/1954 8:00,6,1,1954
El Cerrito,,LIGHT,CA,6/1/1954 19:00,6,1,1954
Toledo,,DISK,OH,6/1/1954 19:00,6,1,1954
Norfolk,,DISK,VA,6/1/1954 20:00,6,1,1954
Philadelphia,,DISK,PA,6/1/1954 20:00,6,1,1954
Fish Canyon,,LIGHT,CA,6/1/1954 23:00,6,1,1954
Atlanta,,DISK,GA,6/6/1954 10:00,6,6,1954
Estes Park,,CIGAR,CO,6/10/1954 20:00,6,10,1954
Glenburn,,,ME,6/11/1954 2:00,6,11,1954
Palm Beach,,LIGHT,CA,6/15/1954 11:00,6,15,1954
Claymont,,DISK,DE,6/15/1954 11:45,6,15,1954
Ellington AFB,,DISK,TX,6/15/1954 16:30,6,15,1954
Lorton,,OTHER,VA,6/23/1954 2:00,6,23,1954
Langley Air Force Base,,CIRCLE,VA,6/23/1954 23:00,6,23,1954
Thrifty,,CIRCLE,TX,6/25/1954 3:30,6,25,1954
Marion,,CIRCLE,VA,6/30/1954 0:00,6,30,1954
Methuen,,,MA,6/30/1954 0:00,6,30,1954
Hawthorne,,LIGHT,CA,6/30/1954 12:00,6,30,1954
Pasadena,,CIRCLE,CA,6/30/1954 15:00,6,30,1954
St. Louis Airport,RED,OVAL,MO,7/1/1954 21:00,7,1,1954
Los Angeles,RED,CIRCLE,CA,7/1/1954 22:00,7,1,1954
Walnut Creek,,,CA,7/7/1954 20:00,7,7,1954
West Columbia,,FORMATION,SC,7/7/1954 22:00,7,7,1954
Morroco,,VARIOUS,IN,7/12/1954 17:30,7,12,1954
Philadelphia,,DISK,PA,7/15/1954 11:00,7,15,1954
Greenfield,,CIGAR,IN,7/15/1954 14:00,7,15,1954
Kansas City,,CHEVRON,KS,7/15/1954 21:00,7,15,1954
Oakdale,,DISK,NY,7/15/1954 21:00,7,15,1954
Bridge Hampton,,LIGHT,NY,7/15/1954 22:00,7,15,1954
Farmingdale,,OVAL,NY,8/1/1954 12:00,8,1,1954
Dyer,,TRIANGLE,IN,8/1/1954 17:00,8,1,1954
Canton,,DISK,PA,8/1/1954 21:00,8,1,1954
North Hollywood,,LIGHT,CA,8/1/1954 22:00,8,1,1954
Puyallup,,OVAL,WA,8/15/1954 21:00,8,15,1954
Geneva,,DISK,NY,9/1/1954 13:00,9,1,1954
Beaumont,RED,DISK,TX,9/9/1954 12:30,9,9,1954
Palmer Township,,OTHER,PA,9/15/1954 9:30,9,15,1954
Flatwoods,,CIRCLE,WV,10/1/1954 19:00,10,1,1954
Blanco,,OTHER,TX,10/15/1954 16:30,10,15,1954
Manistee,,CIRCLE,MI,10/15/1954 21:30,10,15,1954
Denver,,FIREBALL,CO,11/1/1954 18:30,11,1,1954
Thelma,,DISK,TX,11/14/1954 1:00,11,14,1954
Red Bank,ORANGE,CIRCLE,NJ,12/15/1954 23:10,12,15,1954
Yucaipa,,OVAL,CA,12/16/1954 16:50,12,16,1954
New York City,,LIGHT,NY,2/15/1955 19:00,2,15,1955
Holbrook,YELLOW,EGG,MA,5/1/1955 15:00,5,1,1955
Warrington,,FIREBALL,FL,5/15/1955 3:00,5,15,1955
Homaland,,CIRCLE,CA,6/1/1955 0:00,6,1,1955
Bagley,,CIRCLE,MN,6/1/1955 2:00,6,1,1955
Cincinnati,,DISK,OH,6/1/1955 15:29,6,1,1955
Martinez,,CIRCLE,CA,6/1/1955 17:00,6,1,1955
Clinton,,EGG,TN,6/1/1955 20:30,6,1,1955
Pensacola,,LIGHT,FL,6/6/1955 1:00,6,6,1955
South St. Paul,,DISK,MN,6/15/1955 0:00,6,15,1955
Terre Haute,ORANGE,CIRCLE,IN,6/15/1955 0:00,6,15,1955
Missouri,,LIGHT,MO,6/15/1955 4:30,6,15,1955
Youngstown,,,PA,6/15/1955 8:00,6,15,1955
Daytona Beach,,FIREBALL,FL,6/15/1955 21:00,6,15,1955
Rantoul,,LIGHT,IL,6/17/1955 7:00,6,17,1955
Beach Haven Park,,DISK,NJ,6/23/1955 7:00,6,23,1955
Quartz Hill,,DISK,CA,6/30/1955 0:00,6,30,1955
Lubbock,,CIGAR,TX,6/30/1955 13:00,6,30,1955
Dumas,,LIGHT,TX,6/30/1955 21:00,6,30,1955
Morehead City,,DISK,NC,6/30/1955 21:00,6,30,1955
Carnation,,DISK,WA,7/1/1955 14:00,7,1,1955
Dierks,,CIGAR,AR,7/1/1955 22:00,7,1,1955
Woodland Park,,OVAL,CO,7/15/1955 14:00,7,15,1955
Ringold,,LIGHT,LA,7/15/1955 22:00,7,15,1955
Newtown Square,,CIRCLE,PA,8/6/1955 19:00,8,6,1955
Independence,,FIREBALL,MO,8/8/1955 1:00,8,8,1955
Madisonville,,LIGHT,KY,8/14/1955 1:00,8,14,1955
Eagle Pass,,CIGAR,TX,8/15/1955 0:01,8,15,1955
Covina,,DISK,CA,8/17/1955 21:00,8,17,1955
Bullhead,,DISK,AZ,9/10/1955 23:00,9,10,1955
Mono Lake,,CIRCLE,CA,10/1/1955 22:00,10,1,1955
West Covina,GREEN,,CA,10/9/1955 18:00,10,9,1955
Rhinebeck,,LIGHT,NY,10/15/1955 20:00,10,15,1955
Weirton,,DISK,WV,1/1/1956 5:30,1,1,1956
Petaluma,,OVAL,CA,3/1/1956 13:00,3,1,1956
Bowie,,DISK,MD,3/20/1956 20:00,3,20,1956
Hampton,,SPHERE,MN,3/22/1956 17:30,3,22,1956
Canton,,CIGAR,OH,5/1/1956 12:00,5,1,1956
Pine castle AFB,,LIGHT,FL,5/15/1956 20:00,5,15,1956
Ada,,CIRCLE,OK,5/17/1956 10:22,5,17,1956
Belton,,OTHER,MO,6/1/1956 19:00,6,1,1956
Memphis,ORANGE,CYLINDER,TN,6/1/1956 20:00,6,1,1956
Elmore,,SPHERE,AL,6/5/1956 0:00,6,5,1956
Salt Lake City,,CIRCLE,UT,6/5/1956 0:00,6,5,1956
Upper Glade,,EGG,WV,6/6/1956 12:00,6,6,1956
Akron,,OTHER,OH,6/6/1956 22:00,6,6,1956
Edroy,,,TX,6/15/1956 1:00,6,15,1956
San Francisco,,OTHER,CA,6/15/1956 12:15,6,15,1956
Palo Alto,,FIREBALL,CA,6/15/1956 18:00,6,15,1956
Richfield Springs,,CIGAR,NY,6/15/1956 18:00,6,15,1956
Vista,ORANGE,CIGAR,CA,6/15/1956 19:15,6,15,1956
Farragut,,CIGAR,TN,6/15/1956 20:00,6,15,1956
Tulsa,,FLASH,OK,6/15/1956 20:00,6,15,1956
Salem,,DISK,NJ,6/15/1956 20:32,6,15,1956
New York City,,LIGHT,NY,6/15/1956 21:00,6,15,1956
Cincinnati,,DISK,OH,6/16/1956 13:00,6,16,1956
Madera,,SPHERE,CA,6/24/1956 14:00,6,24,1956
Willow Grove,,LIGHT,PA,6/30/1956 1:00,6,30,1956
Cape Girardeau,,DIAMOND,MO,6/30/1956 13:00,6,30,1956
New Brunswick,,DISK,NJ,6/30/1956 16:00,6,30,1956
Houston,,TRIANGLE,TX,6/30/1956 18:30,6,30,1956
Beatrice,,OTHER,NE,7/1/1956 16:00,7,1,1956
Wichita,,,KS,7/12/1956 19:00,7,12,1956
Sacramento,,DISK,CA,7/14/1956 19:30,7,14,1956
East Hampton,,DISK,CT,7/15/1956 0:00,7,15,1956
Yellowstone Park,,DISK,WY,7/15/1956 0:00,7,15,1956
Sugarcreek,,DISK,OH,7/15/1956 5:00,7,15,1956
Harvard,,,MA,8/1/1956 20:00,8,1,1956
Bradford,YELLOW,SPHERE,AL,8/1/1956 23:30,8,1,1956
Norfolk,,CIGAR,VA,9/9/1956 5:55,9,9,1956
Middle River,BLUE,CIRCLE,MD,9/15/1956 20:00,9,15,1956
Hope,,CIRCLE,AR,9/20/1956 16:00,9,20,1956
Greenwich,,LIGHT,CT,9/21/1956 0:00,9,21,1956
Newport,,RECTANGLE,NH,10/1/1956 19:00,10,1,1956
Edna,,CIRCLE,TX,10/10/1956 21:00,10,10,1956
Mt. Vernon,,DISK,IN,10/15/1956 21:30,10,15,1956
Aberdeen,ORANGE,CIRCLE,SD,11/15/1956 18:30,11,15,1956
Painsville,,RECTANGLE,OH,11/27/1956 22:00,11,27,1956
Columbus,,FORMATION,OH,12/1/1956 23:00,12,1,1956
Dallas,,,TX,1/1/1957 21:00,1,1,1957
Jena,,SPHERE,LA,3/5/1957 19:30,3,5,1957
Fort Devans,,OVAL,MA,3/7/1957 4:00,3,7,1957
Los Angeles,,FORMATION,CA,3/15/1957 13:00,3,15,1957
Los Angeles,,DISK,CA,3/15/1957 15:00,3,15,1957
Canton,,CIGAR,OH,5/1/1957 12:00,5,1,1957
Rhinebeck,,DIAMOND,NY,5/25/1957 13:00,5,25,1957
Union Bower are irving,,FORMATION,TX,6/1/1957 0:00,6,1,1957
El Paso,,DISK,TX,6/1/1957 10:00,6,1,1957
E. Los Angeles,,LIGHT,CA,6/1/1957 12:00,6,1,1957
Glens Falls,,DISK,NY,6/1/1957 20:00,6,1,1957
Irving,,LIGHT,TX,6/1/1957 22:00,6,1,1957
Hicksville,,CIRCLE,NY,6/6/1957 22:00,6,6,1957
Green Lake,,OVAL,MI,6/12/1957 19:00,6,12,1957
Livermore Falls,,DIAMOND,ME,6/14/1957 10:00,6,14,1957
Great Falls,,,MT,6/15/1957 0:00,6,15,1957
Hartford City,,DISK,IN,6/15/1957 13:00,6,15,1957
Walled Lake,,CYLINDER,MI,6/15/1957 23:30,6,15,1957
San Leandro,,LIGHT,CA,6/19/1957 21:00,6,19,1957
Lubbock,,TRIANGLE,TX,6/21/1957 17:00,6,21,1957
Norwalk,,DISK,CA,6/21/1957 19:30,6,21,1957
Arctic,,CIGAR,AK,6/30/1957 0:00,6,30,1957
Dallas,,OTHER,TX,6/30/1957 0:00,6,30,1957
Birmingham,,,MI,6/30/1957 3:30,6,30,1957
New York City,,TEARDROP,NY,6/30/1957 12:00,6,30,1957
Burlington,,CIRCLE,IA,6/30/1957 13:00,6,30,1957
