id,Year,Name,Position,HeightFeet,HeightInches,Weight,Arms,Hands,FortyYD,TwentyYD,TenYD,TwentySS,ThreeCone,Vertical,Broad,Bench,Round,College,Pick,PickRound,PickTotal,FirstName,LastName,HeightInchesTotal,Wonderlic
9253,2012,Brandon Boykin,CB,5,9,182,31.5,9.375,0,0,0,0,0,0,0,0,4,Georgia,28(123),28,123,Brandon,Boykin,69,0
9254,2012,Frank Alexander,DE,6,3,270,35,9.75,0,0,0,0,0,0,0,0,4,Oklahoma,8(103),8,103,Frank,Alexander,75,0
9263,2012,Justin Francis,DE,6,2,268,33.875,10.125,0,0,0,4.35,7.05,32,109,23,0,,,0,0,Justin,Francis,74,0
9269,2012,Kentrell Lockett,DE,6,5,243,34.25,10.25,0,0,0,0,0,0,0,0,0,,,0,0,Kentrell,Lockett,77,0
9271,2012,Donte Paige-Moss,DE,6,3,268,0,0,0,0,0,0,0,0,0,26,0,,,0,0,Donte,Paige-Moss,75,0
9280,2012,Josh Chapman,DT,6,1,316,0,0,0,0,0,0,0,0,0,0,5,Alabama,1(136),1,136,Josh,Chapman,73,0
9282,2012,Mike Daniels,DT,6,0,291,32.5,9.625,0,0,0,0,0,0,0,0,4,Iowa,37(132),37,132,Mike,Daniels,72,0
9286,2012,DaJohn Harris,DT,6,3,306,0,0,0,0,0,0,0,0,0,0,0,,,0,0,DaJohn,Harris,75,0
9289,2012,John Hughes,DT,6,2,309,33.875,9.125,0,0,0,0,0,0,0,28,3,Cincinnati,24(87),24,87,John,Hughes,74,0
9303,2012,Brandon Thompson,DT,6,2,314,33.5,10,0,0,0,4.71,7.97,31,100,35,3,Clemson,30(93),30,93,Brandon,Thompson,74,0
9305,2012,DeAngelo Tyson,DT,6,2,315,0,0,0,0,0,0,0,0,0,0,7,Georgia,29(236),29,236,DeAngelo,Tyson,74,0
9310,2012,Markelle Martin,FS,6,1,207,32,9.25,0,0,0,0,0,0,0,19,6,Oklahoma State,20(190),20,190,Markelle,Martin,73,0
9329,2012,Peter Konz,OC,6,5,314,33,9.25,0,0,0,0,0,0,0,18,2,Wisconsin,23(55),23,55,Peter,Konz,77,0
9330,2012,David Molk,OC,6,1,298,0,0,0,0,0,0,0,0,0,41,7,Michigan,19(226),19,226,David,Molk,73,0
9332,2012,Mark Asper,OG,6,6,319,0,0,0,0,0,0,0,0,0,23,6,Oregon,8(178),8,178,Mark,Asper,78,0
9341,2012,Joe Looney,OG,6,3,309,32.25,9.75,0,0,0,0,0,0,0,26,4,Wake Forest,22(117),22,117,Joe,Looney,75,0
9357,2012,Miles Burris,OLB,6,2,246,31.875,9.875,0,0,0,0,0,37,121,31,4,San Diego State,34(129),34,129,Miles,Burris,74,0
9364,2012,Steven Johnson,OLB,6,0,239,0,0,0,0,0,0,0,0,0,16,0,,,0,0,Steven,Johnson,72,0
9365,2012,Josh Kaddu,OLB,6,3,239,0,0,0,0,0,0,0,34,119,20,5,Oregon,20(155),20,155,Josh,Kaddu,75,0
9377,2012,Danny Trevathan,OLB,6,0,237,32.5,9.5,0,0,0,0,0,31,111,18,6,Kentucky,18(188),18,188,Danny,Trevathan,72,0
9378,2012,Courtney Upshaw,OLB,6,1,272,32,9,0,0,0,0,0,0,0,22,2,Alabama,3(35),3,35,Courtney,Upshaw,73,0
9379,2012,Bobby Wagner,OLB,6,0,241,0,0,0,0,0,0,0,0,0,0,2,Utah State,15(47),15,47,Bobby,Wagner,72,0
9388,2012,Paul Cornick,OT,6,5,310,35,10.25,0,0,0,0,0,0,0,25,0,,,0,0,Paul,Cornick,77,0
9392,2012,A.J. Greene,OT,6,5,298,0,0,0,0,0,0,0,0,0,0,0,,,0,0,A.J.,Greene,77,0
9396,2012,Jonathan Martin,OT,6,5,312,34,9.875,0,0,0,0,0,0,0,0,2,Stanford,10(42),10,42,Jonathan,Martin,77,0
9408,2012,Markus Zusevics,OT,6,5,303,0,0,0,0,0,0,0,0,0,0,0,,,0,0,Markus,Zusevics,77,0
9409,2012,B.J. Coleman,QB,6,3,233,31.625,10.375,0,0,0,4.38,7.07,0,109,0,7,Chattanooga,36(243),36,243,B.J.,Coleman,75,0
9412,2012,Austin Davis,QB,6,1,219,31.75,10.375,0,0,0,4.11,6.73,31,109,0,0,,,0,0,Austin,Davis,73,0
9423,2012,Brock Osweiler,QB,6,7,242,33.875,9.875,0,0,0,0,0,0,0,0,2,Arizona State,25(57),25,57,Brock,Osweiler,79,25
9424,2012,Ryan Tannehill,QB,6,4,221,32.625,9,0,0,0,0,0,0,0,0,1,Texas A&M,8(8),8,8,Ryan,Tannehill,76,34
9428,2012,Patrick Witt,QB,6,3,225,0,0,0,0,0,4.37,7.14,31.5,101,0,0,,,0,0,Patrick,Witt,75,0
9436,2012,Jonas Gray,RB,5,10,223,31.375,10,0,0,0,0,0,0,0,20,0,,,0,0,Jonas,Gray,70,0
9437,2012,Jewel Hampton,RB,5,9,218,31,9.625,0,0,0,0,0,0,0,26,0,,,0,0,Jewel,Hampton,69,0
9450,2012,Trent Richardson,RB,5,9,228,30.25,9.5,0,0,0,0,0,0,0,0,1,Alabama,3(3),3,3,Trent,Richardson,69,0
9455,2012,Foswhitt Whittaker,RB,5,9,193,0,0,0,0,0,0,0,0,0,20,0,,,0,0,Foswhitt,Whittaker,69,0
9458,2012,Mark Barron,SS,6,1,213,33.625,9.5,0,0,0,0,0,0,0,0,1,Alabama,7(7),7,7,Mark,Barron,73,0
9473,2012,Orson Charles,TE,6,2,251,32.5,9.25,0,0,0,0,0,0,0,35,4,Georgia,21(116),21,116,Orson,Charles,74,0
9476,2012,Coby Fleener,TE,6,6,247,33.375,10,0,0,0,0,0,0,0,27,2,Stanford,2(34),2,34,Coby,Fleener,78,0
9482,2012,Nick Provo,TE,6,3,237,31.75,9.5,0,0,0,0,0,0,0,0,0,,,0,0,Nick,Provo,75,0
9483,2012,Beau Reliford,TE,6,5,256,33.375,9,0,0,0,0,0,0,0,0,0,,,0,0,Beau,Reliford,77,0
9490,2012,Ryan Broyles,WR,5,10,192,32.25,9,0,0,0,0,0,0,0,21,2,Oklahoma,22(54),22,54,Ryan,Broyles,70,0
9533,2012,Chase Minnifield,CB,5,10,183,31.5,9,0,0,0,0,0,0,0,7,0,,,0,0,Chase,Minnifield,70,0
9554,2012,Omar Bolden,CB,5,10,202,31.5,8.875,0,0,0,0,0,0,0,24,4,Arizona State,6(101),6,101,Omar,Bolden,70,0
9558,2012,Shaun Prater,CB,5,10,190,0,0,0,0,0,0,0,0,0,14,5,Iowa,21(156),21,156,Shaun,Prater,70,0
11327,2005,Derreck Robinson,DT,6,4,289,0,0,0,0,0,4.53,0,34.5,114,27,0,,,0,0,Derreck,Robinson,76,0
11372,2005,Duke Preston,OC,6,5,311,0,0,0,0,0,4.53,0,32,96,21,4,Illinois,21(122),21,122,Duke,Preston,77,0
11480,2005,Hamza Abdullah,SS,6,2,214,0,0,0,0,0,0,0,39,114,18,7,Washington State,17(231),17,231,Hamza,Abdullah,74,0
14601,2014,Jeremiah Attaochu,OLB,6,3,252,0,0,0,0,0,0,0,0,0,0,0,Georgia Tech,0,0,0,Jeremiah,Attaochu,75,0
14606,2014,Deion Belue,CB,5,11,182,0,0,0,0,0,0,0,0,0,11,0,Alabama,0,0,0,Deion,Belue,71,0
14612,2014,Rob Blanchflower,TE,6,4,256,0,0,0,0,0,0,0,0,0,0,0,Massachusetts,0,0,0,Rob,Blanchflower,76,0
14619,2014,Chris  Boswell,K,6,2,185,0,0,0,0,0,0,0,0,0,0,0,Rice,0,0,0,Chris ,Boswell,74,0
14624,2014,Teddy Bridgewater,QB,6,2,214,0,0,0,0,0,4.2,7.17,30,113,0,0,Louisville,0,0,0,Teddy,Bridgewater,74,0
14641,2014,Travis Carrie,CB,6,0,206,0,0,0,0,0,0,0,0,0,17,0,Ohio,0,0,0,Travis,Carrie,72,0
14642,2014,Steven Clark,P,6,5,231,0,0,0,0,0,0,0,0,0,0,0,Auburn,0,0,0,Steven,Clark,77,0
14648,2014,Deandre Coleman,DT,6,5,314,0,0,0,0,0,0,0,0,0,24,0,California,0,0,0,Deandre,Coleman,77,0
14649,2014,Kain Colter,WR,5,10,198,0,0,0,0,0,0,0,0,0,0,0,Northwestern,0,0,0,Kain,Colter,70,0
14650,2014,Aaron Colvin,CB,5,11,177,0,0,0,0,0,0,0,0,0,0,0,Oklahoma,0,0,0,Aaron,Colvin,71,0
14657,2014,Chris Davis,CB,5,10,202,0,0,0,0,0,0,0,0,0,15,0,Auburn,0,0,0,Chris,Davis,70,0
14658,2014,Mike Davis,WR,6,0,197,0,0,0,0,0,0,0,0,0,10,0,Texas,0,0,0,Mike,Davis,72,0
14667,2014,Joe Don Duncan,TE,6,3,268,0,0,0,0,0,0,0,0,0,35,0,Dixie St.,0,0,0,Joe Don,Duncan,75,0
14669,2014,Dominique Easley,DT,6,2,288,0,0,0,0,0,0,0,0,0,26,0,Florida,0,0,0,Dominique,Easley,74,0
14682,2014,Anthony Fera,K,6,1,211,0,0,0,0,0,0,0,0,0,0,0,Texas,0,0,0,Anthony,Fera,73,0
14683,2014,Ego Ferguson,DT,6,3,315,0,0,0,0,0,0,0,0,0,24,0,LSU,0,0,0,Ego,Ferguson,75,0
14688,2014,Dee Ford,DE,6,2,252,0,0,0,0,0,0,0,0,0,0,0,Auburn,0,0,0,Dee,Ford,74,0
14696,2014,E.J. Gaines,CB,5,10,190,0,0,0,0,0,0,0,0,0,15,0,Missouri,0,0,0,E.J.,Gaines,70,0
14706,2014,Marion Grice,RB,6,0,208,0,0,0,0,0,0,0,0,0,0,0,Arizona State,0,0,0,Marion,Grice,72,0
14707,2014,Xavier Grimble,TE,6,4,257,0,0,0,0,0,0,0,26.5,113,0,0,USC,0,0,0,Xavier,Grimble,76,0
14714,2014,Taylor Hart,DE,6,6,281,0,0,0,0,0,0,0,0,0,21,0,Oregon,0,0,0,Taylor,Hart,78,0
14722,2014,Zach Hocker,K,6,0,189,0,0,0,0,0,0,0,0,0,0,0,Arkansas,0,0,0,Zach,Hocker,72,0
14724,2014,Tom Hornsey,P,6,3,221,0,0,0,0,0,0,0,0,0,0,0,Memphis,0,0,0,Tom,Hornsey,75,0
14729,2014,James Hurst,OT,6,5,296,0,0,0,0,0,0,0,0,0,0,0,North Carolina,0,0,0,James,Hurst,77,0
14733,2014,Andrew Jackson,ILB,6,1,254,0,0,0,0,0,0,0,0,0,0,0,Western Kentucky,0,0,0,Andrew,Jackson,73,0
14736,2014,Nic Jacobs,TE,6,5,269,0,0,0,0,0,0,0,0,0,15,0,McNeese St.,0,0,0,Nic,Jacobs,77,0
14757,2014,Christian Kirksey,OLB,6,2,233,0,0,0,0,0,0,0,32,122,16,0,Iowa,0,0,0,Christian,Kirksey,74,0
14761,2014,Tyler Larsen,C,6,4,313,0,0,0,0,0,4.7,8.22,23.5,102,36,0,Utah St.,0,0,0,Tyler,Larsen,76,0
14762,2014,Cody Latimer,WR,6,2,215,0,0,0,0,0,0,0,0,0,23,0,Indiana,0,0,0,Cody,Latimer,74,0
14766,2014,Charles Leno Jr.,OT,6,4,303,0,0,0,0,0,4.4,7.57,29,108,21,0,Boise St.,0,0,0,Charles,Leno Jr.,76,0
14768,2014,Richie Leone,P,6,3,211,0,0,0,0,0,0,0,0,0,0,0,Houston,0,0,0,Richie,Leone,75,0
14772,2014,Corey Linsley,C,6,3,296,0,0,0,0,0,0,0,27,0,36,0,Ohio St.,0,0,0,Corey,Linsley,75,0
14774,2014,Spencer Long,OG,6,5,320,0,0,0,0,0,0,0,0,0,0,0,Nebraska,0,0,0,Spencer,Long,77,0
14776,2014,Luke Lucas,OT,6,8,316,0,0,0,0,0,0,0,0,0,0,0,Kansas St.,0,0,0,Luke,Lucas,80,0
14779,2014,Aaron  Lynch,DE,6,5,249,0,0,0,0,0,0,0,0,0,18,0,South Florida,0,0,0,Aaron ,Lynch,77,0
14788,2014,Marcus Martin,C,6,3,320,0,0,0,0,0,0,0,0,0,23,0,USC,0,0,0,Marcus,Martin,75,0
14789,2014,Zack Martin,OT,6,4,308,0,0,0,0,0,4.59,7.65,28,106,29,0,Notre Dame,0,0,0,Zack,Martin,76,0
14796,2014,Daniel McCullers,DT,6,7,352,0,0,0,0,0,0,0,20.5,97,27,0,Tennessee,0,0,0,Daniel,McCullers,79,0
14797,2014,Dexter McDougle,CB,5,10,196,0,0,0,0,0,0,0,0,0,0,0,Maryland,0,0,0,Dexter,McDougle,70,0
14800,2014,Zach Mettenberger,QB,6,5,224,0,0,0,0,0,0,0,0,0,0,0,LSU,0,0,0,Zach,Mettenberger,77,0
14802,2014,Trey Millard,FB,6,2,247,0,0,0,0,0,0,0,0,0,0,0,Oklahoma,0,0,0,Trey,Millard,74,0
14810,2014,C.J. Mosley,ILB,6,2,234,0,0,0,0,0,4.4,7.3,35,118,0,0,Alabama,0,0,0,C.J.,Mosley,74,0
14811,2014,Adam Muema,RB,5,10,202,0,0,0,0,0,0,0,0,0,0,0,San Diego St.,0,0,0,Adam,Muema,70,0
14814,2014,Aaron  Murray,QB,6,1,207,0,0,0,0,0,0,0,0,0,0,0,Georgia,0,0,0,Aaron ,Murray,73,0
14817,2014,Troy Niklas,TE,6,6,270,0,0,0,0,0,4.55,7.57,32,114,27,0,Notre Dame,0,0,0,Troy,Niklas,78,0
14821,2014,Jeoffrey Pagan,DE,6,3,310,0,0,0,0,0,0,0,0,0,0,0,Alabama,0,0,0,Jeoffrey,Pagan,75,0
14835,2014,Kaleb Ramsey,DE,6,3,293,0,0,0,0,0,0,0,0,0,36,0,Boston College,0,0,0,Kaleb,Ramsey,75,0
14836,2014,Keith Reaser,CB,5,10,189,0,0,0,0,0,0,0,0,0,22,0,Florida Atlantic,0,0,0,Keith,Reaser,70,0
14840,2014,Trevor Reilly,OLB,6,5,245,0,0,0,0,0,0,0,0,0,26,0,Utah,0,0,0,Trevor,Reilly,77,0
14855,2014,Cairo Santos,K,5,8,164,0,0,0,0,0,0,0,0,0,0,0,Tulane,0,0,0,Cairo,Santos,68,0
14860,2014,Austin Seferian-Jenkins,TE,6,5,262,0,0,0,0,0,0,0,0,0,20,0,Washington,0,0,0,Austin,Seferian-Jenkins,77,0
14862,2014,Ryan Shazier,OLB,6,1,237,0,0,0,0,0,4.21,6.91,42,130,25,0,Ohio St.,0,0,0,Ryan,Shazier,73,0
14865,2014,Shayne Skov,ILB,6,2,245,0,0,0,0,0,0,0,0,0,0,0,Stanford,0,0,0,Shayne,Skov,74,0
14873,2014,Dezmen Southward,FS,6,0,211,0,0,0,0,0,0,0,0,0,0,0,Wisconsin,0,0,0,Dezmen,Southward,72,0
14875,2014,Anthony Steen,OG,6,3,314,0,0,0,0,0,0,0,0,0,0,0,Alabama,0,0,0,Anthony,Steen,75,0
14878,2014,Ed Stinson,DE,6,3,287,0,0,0,0,0,0,0,0,0,0,0,Alabama,0,0,0,Ed,Stinson,75,0
14880,2014,Bryan Stork,C,6,4,315,0,0,0,0,0,0,0,0,0,0,0,Florida St.,0,0,0,Bryan,Stork,76,0
14883,2014,Vinnie Sunseri,SS,5,11,210,0,0,0,0,0,0,0,0,0,18,0,Alabama,0,0,0,Vinnie,Sunseri,71,0
14891,2014,Robert Thomas,DT,6,1,327,0,0,0,0,0,0,0,0,0,32,0,Arkansas,0,0,0,Robert,Thomas,73,0
14893,2014,D.J. Tialavea,TE,6,3,267,0,0,0,0,0,0,0,0,0,0,0,Utah St.,0,0,0,D.J.,Tialavea,75,0
14895,2014,Stephon Tuitt,DE,6,5,304,0,0,0,0,0,0,0,0,0,31,0,Notre Dame,0,0,0,Stephon,Tuitt,77,0
14899,2014,Devin Unga,ILB,6,1,231,0,0,0,0,0,0,0,0,0,0,0,BYU,0,0,0,Devin,Unga,73,0
14900,2014,Brent Urban,DT,6,7,295,0,0,0,0,0,0,0,0,0,0,0,Virginia,0,0,0,Brent,Urban,79,0
14906,2014,Jimmie Ward,SS,5,11,193,0,0,0,0,0,0,0,0,0,9,0,Northern Illinois,0,0,0,Jimmie,Ward,71,0
14908,2014,Todd Washington,CB,5,11,196,0,0,0,0,0,0,0,0,0,13,0,Southeastern Louisiana,0,0,0,Todd,Washington,71,0
14911,2014,Chris Watt,OG,6,3,310,0,0,0,0,0,0,0,0,0,29,0,Notre Dame,0,0,0,Chris,Watt,75,0
14917,2014,Chris Whaley,DT,6,3,269,0,0,0,0,0,0,0,0,0,0,0,Texas,0,0,0,Chris,Whaley,75,0
10607,2008,Chris Johnson,RB,5,11,197,0,0,4.24,0,0,0,0,35,0,0,1,East Carolina,24(24),24,24,Chris,Johnson,71,0
13232,1999,Rondel Menendez,WR,5,9,178,0,0,4.24,0,1.47,3.96,0,37,117,0,7,Eastern Kentucky,41(247),41,247,Rondel,Menendez,69,0
9847,2011,Demarcus Van Dyke,CB,6,1,176,31.375,9,4.25,0,0,4.09,0,33.5,0,5,3,Miami (FL),17(81),17,81,Demarcus,Van,73,0
11523,2005,Jerome Mathis,WR,5,11,181,0,0,4.26,0,0,0,0,35.5,123,0,4,Hampton,13(114),13,114,Jerome,Mathis,71,0
14598,2014,Dri Archer,RB,5,8,173,0,0,4.26,0,0,4.06,6.86,38,122,20,0,Kent St.,0,0,0,Dri,Archer,68,0
9193,2013,Marquise Goodwin,WR,5,9,183,31.5,8.625,4.27,0,1.43,0,0,0,132,13,3,Texas,16(78),16,78,Marquise,Goodwin,69,0
10068,2010,C.J. Spiller,RB,5,11,196,30.5,10.125,4.27,0,0,0,0,0,0,18,1,Clemson,9(9),9,9,C.J.,Spiller,71,10
11544,2005,Stanford Routt,CB,6,2,193,0,0,4.27,0,0,3.9,0,36.5,129,0,2,Houston,6(38),6,38,Stanford,Routt,74,0
10113,2010,Jacoby Ford,WR,5,9,186,30.5,9.25,4.28,0,0,4.44,7,33.5,115,15,4,Clemson,10(108),10,108,Jacoby,Ford,69,0
10422,2009,Mike Wallace,WR,6,1,199,31.375,9,4.28,2.45,1.43,4.27,0,40,129,14,3,Mississippi,20(84),20,84,Mike,Wallace,73,0
12879,1999,Champ Bailey,CB,6,1,184,0,0,4.28,0,0,3.79,0,37,121,0,1,Georgia,7(7),7,7,Champ,Bailey,73,0
10407,2009,Johnny Knox,WR,6,1,185,31,9,4.29,2.53,1.47,4.15,6.81,35,122,0,5,Abilene Christian,4(140),4,140,Johnny,Knox,73,0
10450,2008,Dominique Rodgers-Cromartie,CB,6,2,184,0,0,4.29,0,0,4.17,0,38.5,131,17,1,Tennessee State,16(16),16,16,Dominique,Rodgers-Cromartie,74,0
11280,2005,Fabian Washington,CB,5,11,188,0,0,4.29,0,0,3.91,0,41.5,129,18,1,Nebraska,23(23),23,23,Fabian,Washington,71,0
13153,1999,Jay Hinton,RB,5,11,200,0,0,4.29,0,0,3.86,0,43.5,134,18,0,,,0,0,Jay,Hinton,71,0
10403,2009,Darrius Heyward-Bey,WR,6,2,210,33.625,9,4.3,2.5,1.44,4.18,6.8,38.5,126,16,1,Maryland,7(7),7,7,Darrius,Heyward-Bey,74,0
10420,2009,Mike Thomas,WR,5,8,195,31,9.375,4.3,0,0,4.28,6.65,40.5,126,0,4,Arizona,7(107),7,107,Mike,Thomas,68,0
10939,2007,Yamon Figurs,WR,5,11,174,0,0,4.3,0,0,4.21,0,0,123,0,3,Kansas State,10(74),10,74,Yamon,Figurs,71,0
11273,2005,Darrent Williams,CB,5,9,176,0,0,4.3,0,0,3.96,0,39,124,16,2,Oklahoma State,24(56),24,56,Darrent,Williams,69,0
9812,2011,Edmond Gates,WR,6,1,192,30.75,9.375,4.31,2.51,1.53,4.17,6.87,40,131,16,4,Abilene Christian,14(111),14,111,Edmond,Gates,73,0
9859,2011,Patrick Peterson,CB,6,0,219,32,9.25,4.31,0,0,4.07,0,38,0,15,1,LSU,5(5),5,5,Patrick,Peterson,72,0
9933,2010,Taylor Mays,FS,6,3,230,34,10.25,4.31,0,0,0,0,41,125,24,2,USC,17(49),17,49,Taylor,Mays,75,0
10393,2009,Deon Butler,WR,5,11,182,31,9.25,4.31,0,0,4.48,7.01,34.5,118,12,3,Penn State,27(91),27,91,Deon,Butler,71,0
10421,2009,Tiquan Underwood,WR,6,1,184,32.25,8.5,4.31,0,0,4.11,6.62,41.5,129,7,7,Rutgers,44(253),44,253,Tiquan,Underwood,73,0
10693,2008,Justin King,CB,5,11,192,0,0,4.31,0,0,4.31,0,34,127,14,4,Penn State,2(101),2,101,Justin,King,71,0
10707,2008,Tyvon Branch,CB,6,1,204,0,0,4.31,0,0,4.4,0,34,120,19,4,Connecticut,1(100),1,100,Tyvon,Branch,73,0
10995,2006,Johnathan Joseph,CB,5,11,193,31,9.625,4.31,2.57,1.53,4.27,6.94,37,123,15,1,South Carolina,24(24),24,24,Johnathan,Joseph,71,0
11813,2004,Michael Waddell,CB,5,11,187,0,0,4.31,0,0,4.03,0,37.5,121,14,4,North Carolina,28(124),28,124,Michael,Waddell,71,0
12334,2002,Aaron Lockett,WR,5,8,155,0,0,4.31,0,0,4.11,0,35,119,0,7,Kansas State,43(254),43,254,Aaron,Lockett,68,0
12601,2001,Santana Moss,WR,5,10,181,0,0,4.31,0,0,0,0,42,0,0,1,Miami (FL),16(16),16,16,Santana,Moss,70,0
9867,2010,Akwasi Owusu-Ansah,CB,6,1,207,32.5,9.125,4.32,0,0,4.32,0,35.5,120,0,4,Indiana (PA),28(126),28,126,Akwasi,Owusu-Ansah,73,0
10414,2009,Louis Murphy,WR,6,3,203,33.625,10,4.32,2.58,1.48,4.45,6.95,34.5,117,12,4,Florida,24(124),24,124,Louis,Murphy,75,0
10701,2008,Orlando Scandrick,CB,5,10,192,0,0,4.32,0,0,0,0,33.5,125,0,5,Boise State,8(143),8,143,Orlando,Scandrick,70,0
10716,2007,Chris Houston,CB,5,10,185,0,0,4.32,0,0,4.12,0,36,122,27,2,Arkansas,9(41),9,41,Chris,Houston,70,0
10944,2007,Jason Hill,WR,6,1,204,32.25,9.25,4.32,2.5,1.49,4.22,7.02,37,123,11,3,Washington State,12(76),12,76,Jason,Hill,73,0
11233,2006,Chad Jackson,WR,6,1,213,0,0,4.32,0,0,4.03,0,38.5,122,0,2,Florida,4(36),4,36,Chad,Jackson,73,0
11259,2006,Tim Jennings,CB,5,8,185,0,0,4.32,0,0,0,0,37.5,0,17,2,Georgia,30(62),30,62,Tim,Jennings,68,0
11271,2005,Chris McKenzie,CB,5,9,185,0,0,4.32,0,0,4.32,0,45,136,6,0,,,0,0,Chris,McKenzie,69,0
11538,2005,Troy Williamson,WR,6,2,203,0,0,4.32,0,0,4.18,0,37,0,0,1,South Carolina,7(7),7,7,Troy,Williamson,74,0
11833,2003,Kevin Garrett,CB,5,10,194,0,0,4.32,0,0,3.96,0,35,129,0,5,Southern Methodist,37(172),37,172,Kevin,Garrett,70,0
12323,2002,Tim Carter,WR,6,1,190,0,0,4.32,0,0,3.93,0,39,126,0,2,Auburn,14(46),14,46,Tim,Carter,73,0
9452,2012,Michael Smith,RB,5,8.5,207,0,0,4.33,2.5,1.48,4.35,7.51,40.5,126,23,7,Utah State,5(212),5,212,Michael,Smith,68.5,0
9548,2012,Josh Robinson,CB,5,10,199,31.25,9.25,4.33,0,0,3.97,6.55,38,133,17,3,UCF,3(66),3,66,Josh,Robinson,70,0
10228,2009,Chris Clemons,FS,6,1,208,0,0,4.33,0,0,4.38,0,37.5,127,19,5,Clemson,29(165),29,165,Chris,Clemons,73,0
10610,2008,Darren McFadden,RB,6,1,211,0,0,4.33,0,0,0,0,33,128,0,1,Arkansas,4(4),4,4,Darren,McFadden,73,0
10671,2008,Dexter Jackson,WR,5,10,182,0,0,4.33,0,0,4.38,0,29.5,122,0,2,Appalachian State,27(58),27,58,Dexter,Jackson,70,0
11791,2004,Carlos Francis,WR,5,9,198,0,0,4.33,0,0,4.06,0,38.5,114,0,4,Texas Tech,3(99),3,99,Carlos,Francis,69,0
12527,2001,Michael Vick,QB,6,1,210,0,0,4.33,0,0,0,0,38,0,0,1,Virginia Tech,1(1),1,1,Michael,Vick,73,20
12584,2001,Chris Chambers,WR,6,1,210,0,0,4.33,0,0,4,0,45,134,0,2,Wisconsin,21(52),21,52,Chris,Chambers,73,0
13205,1999,Karsten Bailey,WR,6,1,205,0,0,4.33,0,0,3.99,0,40,121,0,3,Auburn,21(82),21,82,Karsten,Bailey,73,0
14651,2014,Brandin Cooks,WR,5,10,189,0,0,4.33,0,0,3.81,6.76,36,120,16,0,Oregon St.,0,0,0,Brandin,Cooks,70,0
9143,2013,Onterio McCalebb,RB,5,10,168,31,9,4.34,0,1.45,0,0,34,121,0,0,,,0,0,Onterio,McCalebb,70,0
9186,2013,Tavon Austin,WR,5,8,174,30,9.125,4.34,0,1.45,4.01,0,32,120,14,1,West Virginia,8(8),8,8,Tavon,Austin,68,0
9215,2013,Ryan Swope,WR,6,0,205,31.375,8.5,4.34,0,1.47,4.25,6.76,37,125,16,6,Texas A&M,6(174),6,174,Ryan,Swope,72,0
9503,2012,Stephen Hill,WR,6,4,215,33.375,9.375,4.34,2.52,1.5,4.51,6.89,39.5,133,14,2,Georgia Tech,11(43),11,43,Stephen,Hill,76,0
9504,2012,T.Y. Hilton,WR,5,10,183,32,8.5,4.34,2.51,1.53,4.36,7.03,35.5,119,7,3,Florida International,29(92),29,92,T.Y.,Hilton,70,0
